No errors
No warnings
102 ms
data source=metars
4813 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KUMP 220415Z AUTO 07005KT 10SM CLR 01/M10 A3020 RMK AO2 T00061101,KUMP,2024-03-22T04:15:00Z,39.936,-86.0478,0.6,-10.1,70,5,,10+,30.20,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,247
KULS 220415Z AUTO 16011KT 10SM CLR 11/07 A2987 RMK AO2,KULS,2024-03-22T04:15:00Z,37.6037,-101.377,11,7,160,11,,10+,29.87,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,934
KULM 220415Z AUTO 06008KT 10SM OVC070 M03/M06 A3017 RMK AO2,KULM,2024-03-22T04:15:00Z,44.3228,-94.5024,-3,-6,60,8,,10+,30.17,,,TRUE,TRUE,,,,,,,OVC,7000,,,,,,,VFR,,,,,,,,,,,,METAR,305
KUKT 220415Z AUTO 02006KT 10SM CLR M01/M12 A3031 RMK AO2,KUKT,2024-03-22T04:15:00Z,40.4368,-75.3802,-1,-12,20,6,,10+,30.31,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,156
KUKL 220415Z AUTO 13007KT 10SM CLR 11/04 A2993 RMK AO2 T01090040,KUKL,2024-03-22T04:15:00Z,38.3041,-95.7217,10.9,4,130,7,,10+,29.93,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,357
KUES 220415Z AUTO 11006KT 10SM BKN034 BKN042 BKN049 M01/M06 A3022 RMK AO2,KUES,2024-03-22T04:15:00Z,43.0425,-88.2465,-1,-6,110,6,,10+,30.22,,,TRUE,TRUE,,,,,,,BKN,3400,BKN,4200,BKN,4900,,,VFR,,,,,,,,,,,,METAR,273
KUCY 220415Z AUTO 07004KT 10SM FEW047 FEW065 OVC080 13/M01 A3002 RMK A01,KUCY,2024-03-22T04:15:00Z,36.3778,-88.9878,13,-1,70,4,,10+,30.02,,,TRUE,TRUE,,,,,,,FEW,4700,FEW,6500,OVC,8000,,,VFR,,,,,,,,,,,,METAR,97
KUBE 220415Z AUTO 00000KT 3/4SM SN OVC009 M03/M05 A3020 RMK AO2 P0001,KUBE,2024-03-22T04:15:00Z,45.5046,-91.978,-3,-5,0,0,,0.75,30.20,,,TRUE,TRUE,,,,,,SN,OVC,900,,,,,,,LIFR,,,,,,0.01,,,,,,METAR,376
KU69 220415Z AUTO 27014KT 10SM CLR 09/M08 A3008 RMK A01,KU69,2024-03-22T04:15:00Z,40.198,-110.387,9,-8,270,14,,10+,30.08,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1776
KU68 220415Z AUTO 00000KT 10SM SCT050 OVC110 05/00 A2999 RMK AO2,KU68,2024-03-22T04:15:00Z,44.9113,-108.447,5,0,0,0,,10+,29.99,,,TRUE,TRUE,,,,,,,SCT,5000,OVC,11000,,,,,VFR,,,,,,,,,,,,METAR,1244
KU64 220415Z AUTO 01004KT 10SM FEW170 05/M02 A3018 RMK AO2 T00451018 $,KU64,2024-03-22T04:15:00Z,37.9333,-109.34,4.5,-1.8,10,4,,10+,30.18,,,TRUE,TRUE,TRUE,,,,,,FEW,17000,,,,,,,VFR,,,,,,,,,,,,METAR,2123
KU52 220415Z AUTO 15006KT 10SM FEW049 06/01 A3015 RMK AO2,KU52,2024-03-22T04:15:00Z,38.232,-112.672,6,1,150,6,,10+,30.15,,,TRUE,TRUE,,,,,,,FEW,4900,,,,,,,VFR,,,,,,,,,,,,METAR,1787
KU42 220415Z AUTO 24007KT 10SM CLR 09/M05 A3008 RMK AO1 T00871049,KU42,2024-03-22T04:15:00Z,40.6196,-111.99,8.7,-4.9,240,7,,10+,30.08,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1399
KTZR 220415Z AUTO 04007KT 10SM CLR 00/M09 A3025 RMK AO2 T10041092,KTZR,2024-03-22T04:15:00Z,39.8988,-83.1357,-0.4,-9.2,40,7,,10+,30.25,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,275
KTYQ 220415Z AUTO 09006KT 10SM CLR 00/M09 A3019 RMK AO2 T10011090,KTYQ,2024-03-22T04:15:00Z,40.0345,-86.2488,-0.1,-9,90,6,,10+,30.19,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,279
KTYL 220415Z AUTO 25007KT 10SM BKN080 09/01 A3017 RMK AO2,KTYL,2024-03-22T04:15:00Z,34.4577,-110.112,9,1,250,7,,10+,30.17,,,TRUE,TRUE,,,,,,,BKN,8000,,,,,,,VFR,,,,,,,,,,,,METAR,1748
KTXW 220415Z AUTO 27003KT 10SM CLR 20/19 A2987 RMK AO2 T01990185,KTXW,2024-03-22T04:15:00Z,26.1824,-97.9742,19.9,18.5,270,3,,10+,29.87,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,21
KTWT 220415Z AUTO 10005KT 10SM CLR 07/M03 A3010 RMK AO2,KTWT,2024-03-22T04:15:00Z,37.5432,-87.9568,7,-3,100,5,,10+,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,113
KTWM 220415Z AUTO 02004KT 10SM CLR M04/M12 A3019 RMK AO2,KTWM,2024-03-22T04:15:00Z,47.0192,-91.7447,-4,-12,20,4,,10+,30.19,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,331
KTVY 220415Z AUTO 17006KT 10SM CLR 03/M01 A3008 RMK AO2,KTVY,2024-03-22T04:15:00Z,40.6127,-112.354,3,-1,170,6,,10+,30.08,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1310
KTVK 220415Z AUTO 11010KT 10SM CLR 05/M09 A3001 RMK AO2,KTVK,2024-03-22T04:15:00Z,40.6832,-92.8984,5,-9,110,10,,10+,30.01,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,311
KTVI 220415Z AUTO 18003KT 10SM OVC095 17/07 A3009 RMK AO2,KTVI,2024-03-22T04:15:00Z,30.9026,-83.8826,17,7,180,3,,10+,30.09,,,TRUE,TRUE,,,,,,,OVC,9500,,,,,,,VFR,,,,,,,,,,,,METAR,74
KTTF 220415Z AUTO 00000KT 10SM CLR M02/M08 A3030 RMK AO2 T10251085,KTTF,2024-03-22T04:15:00Z,41.9371,-83.4332,-2.5,-8.5,0,0,,10+,30.30,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,186
KTSP 220415Z AUTO 27005KT CLR 07/02 A3016 RMK AO2,KTSP,2024-03-22T04:15:00Z,35.1387,-118.442,7,2,270,5,,,30.16,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1209
KTRK 220415Z AUTO 00000KT 10SM CLR 03/00 A3017 RMK AO2,KTRK,2024-03-22T04:15:00Z,39.3154,-120.137,3,0,0,0,,10+,30.17,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1800
KTQV 220415Z AUTO 13008KT 10SM CLR 12/M00 A3020 RMK A01,KTQV,2024-03-22T04:15:00Z,36.007,-78.937,12,0,130,8,,10+,30.20,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230
KTQK 220415Z AUTO 19011KT 10SM CLR 09/05 A2987 RMK AO2 T00890045,KTQK,2024-03-22T04:15:00Z,38.4782,-100.882,8.9,4.5,190,11,,10+,29.87,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,906
KTQH 220415Z AUTO 12005KT 10SM OVC090 13/10 A2995 RMK AO2,KTQH,2024-03-22T04:15:00Z,35.9304,-95.0025,13,10,120,5,,10+,29.95,,,TRUE,TRUE,,,,,,,OVC,9000,,,,,,,VFR,,,,,,,,,,,,METAR,265
KTPF 220415Z AUTO 14009KT 10SM OVC034 23/20 A3005 RMK AO2,KTPF,2024-03-22T04:15:00Z,27.9153,-82.4518,23,20,140,9,,10+,30.05,,,TRUE,TRUE,,,,,,,OVC,3400,,,,,,,VFR,,,,,,,,,,,,METAR,1
KTOC 220415Z AUTO 36005KT 10SM CLR 14/05 A3011 RMK AO2 T01370049,KTOC,2024-03-22T04:15:00Z,34.588,-83.2974,13.7,4.9,360,5,,10+,30.11,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,292
KTOB 220415Z AUTO 00000KT 2SM -SN OVC011 M03/M04 A3016 RMK AO2,KTOB,2024-03-22T04:15:00Z,44.0202,-92.8295,-3,-4,0,0,,2,30.16,,,TRUE,TRUE,,,,,,-SN,OVC,1100,,,,,,,IFR,,,,,,,,,,,,METAR,394
KTNU 220415Z AUTO 11010KT 10SM BKN060 OVC065 06/M06 A3001 RMK A01,KTNU,2024-03-22T04:15:00Z,41.6701,-93.019,6,-6,110,10,,10+,30.01,,,TRUE,TRUE,,,,,,,BKN,6000,OVC,6500,,,,,VFR,,,,,,,,,,,,METAR,287
KTNB 220415Z AUTO 00000KT 10SM CLR 02/M02 A3004 RMK AO2 T00221020,KTNB,2024-03-22T04:15:00Z,36.1988,-81.6515,2.2,-2,0,0,,10+,30.04,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,958
KTMT 220415Z AUTO 00000KT 10SM CLR 03/M07 A3014 RMK AO2 T00331072,KTMT,2024-03-22T04:15:00Z,39.4643,-117.197,3.3,-7.2,0,0,,10+,30.14,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1748
KTMK 220415Z AUTO 00000KT 10SM FEW003 SCT043 BKN070 11/11 A3005 RMK AO2,KTMK,2024-03-22T04:15:00Z,45.421,-123.814,11,11,0,0,,10+,30.05,,,TRUE,TRUE,,,,,,,FEW,300,SCT,4300,BKN,7000,,,VFR,,,,,,,,,,,,METAR,8
KTME 220415Z AUTO 13005KT 8SM 18/18 A2986 RMK AO2,KTME,2024-03-22T04:15:00Z,29.806,-95.903,18,18,130,5,,8,29.86,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,49
KTMA 220415Z AUTO 12003KT 8SM -RA OVC100 18/05 A3008 RMK AO2 P0000 T01800046,KTMA,2024-03-22T04:15:00Z,31.4229,-83.4859,18,4.6,120,3,,8,30.08,,,TRUE,TRUE,,,,,,-RA,OVC,10000,,,,,,,VFR,,,,,,0.005,,,,,,METAR,105
KTKX 220415Z AUTO 04006KT 4SM HZ SCT090 BKN110 14/02 A3001 RMK AO2,KTKX,2024-03-22T04:15:00Z,36.2226,-90.0367,14,2,40,6,,4,30.01,,,TRUE,TRUE,,,,,,HZ,SCT,9000,BKN,11000,,,,,MVFR,,,,,,,,,,,,METAR,73
KTKV 220415Z AUTO 13003KT 10SM SCT044 OVC050 M02/M14 A3017 RMK AO2 T10211138 PWINO,KTKV,2024-03-22T04:15:00Z,45.469,-89.805,-2.1,-13.8,130,3,,10+,30.17,,,TRUE,TRUE,,,,,TRUE,,SCT,4400,OVC,5000,,,,,VFR,,,,,,,,,,,,METAR,449
KTKC 220415Z AUTO 07012G17KT 10SM UP OVC060 M03/M07 A3011 RMK AO2,KTKC,2024-03-22T04:15:00Z,44.25,-95.612,-3,-7,70,12,17,10+,30.11,,,TRUE,TRUE,,,,,,UP,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,408
KTIP 220415Z AUTO 10008KT 10SM CLR 01/M09 A3014 RMK AO2 T00121090,KTIP,2024-03-22T04:15:00Z,40.291,-88.146,1.2,-9,100,8,,10+,30.14,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,224
KTIF 220415Z AUTO 35023G29KT 10SM SCT110 05/M05 A2985 RMK AO2 T00521050,KTIF,2024-03-22T04:15:00Z,41.9646,-100.569,5.2,-5,350,23,29,10+,29.85,,,TRUE,TRUE,,,,,,,SCT,11000,,,,,,,VFR,,,,,,,,,,,,METAR,888
KTHA 220415Z AUTO 07004KT 10SM FEW049 FEW070 BKN110 15/M01 A3004 RMK A01,KTHA,2024-03-22T04:15:00Z,35.3804,-86.2419,15,-1,70,4,,10+,30.04,,,TRUE,TRUE,,,,,,,FEW,4900,FEW,7000,BKN,11000,,,VFR,,,,,,,,,,,,METAR,333
KTGI 220415Z AUTO 15004KT 10SM CLR 06/M01 A3031 RMK AO1 T00601009,KTGI,2024-03-22T04:15:00Z,37.8279,-75.9964,6,-0.9,150,4,,10+,30.31,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1
KTEX 220415Z AUTO 27006KT 10SM SCT048 BKN060 OVC110 03/M05 A3020 RMK AO2,KTEX,2024-03-22T04:15:00Z,37.954,-107.909,3,-5,270,6,,10+,30.20,,,TRUE,TRUE,,,,,,,SCT,4800,BKN,6000,OVC,11000,,,VFR,,,,,,,,,,,,METAR,2760
KTEW 220415Z AUTO 10003KT 10SM CLR M02/M10 A3026 RMK AO2 T10211105,KTEW,2024-03-22T04:15:00Z,42.5636,-84.4222,-2.1,-10.5,100,3,,10+,30.26,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,281
KTCY 220415Z AUTO 00000KT 10SM CLR 14/09 A3008 RMK A01,KTCY,2024-03-22T04:15:00Z,37.6919,-121.444,14,9,0,0,,10+,30.08,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,51
KTBX 220415Z AUTO 35004KT 10SM SCT050 01/M02 A3010 RMK AO2,KTBX,2024-03-22T04:15:00Z,43.4644,-108.238,1,-2,350,4,,10+,30.10,,,TRUE,TRUE,,,,,,,SCT,5000,,,,,,,VFR,,,,,,,,,,,,METAR,2230
KTBR 220415Z AUTO 00000KT 10SM CLR 14/12 A3012 RMK AO2 T01420120,KTBR,2024-03-22T04:15:00Z,32.48,-81.738,14.2,12,0,0,,10+,30.12,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,54
KT89 220415Z AUTO 30004KT 10SM 18/M03 A2999 RMK A01,KT89,2024-03-22T04:15:00Z,29.2774,-103.691,18,-3,300,4,,10+,29.99,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,801
KT82 220415Z AUTO 00000KT 10SM CLR 11/10 A2990 RMK AO2 T01070103,KT82,2024-03-22T04:15:00Z,30.239,-98.904,10.7,10.3,0,0,,10+,29.90,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,509
KT78 220415Z AUTO 07004KT 10SM VCTS FEW003 BKN046 OVC070 16/16 A2988 RMK AO2 LTG DSNT NE AND E,KT78,2024-03-22T04:15:00Z,30.0754,-94.6996,16,16,70,4,,10+,29.88,,,TRUE,TRUE,,,,,,VCTS,FEW,300,BKN,4600,OVC,7000,,,VFR,,,,,,,,,,,,METAR,21
KT74 220415Z AUTO 00000KT 10SM SCT014 14/13 A2985 RMK AO2 LTG DSNT NE THRU S T01430129,KT74,2024-03-22T04:15:00Z,30.5704,-97.4447,14.3,12.9,0,0,,10+,29.85,,,TRUE,TRUE,,,,,,,SCT,1400,,,,,,,VFR,,,,,,,,,,,,METAR,169
KT69 220415Z AUTO 00000KT 10SM BKN009 BKN025 20/19 A2987 RMK A01,KT69,2024-03-22T04:15:00Z,28.0418,-97.541,20,19,0,0,,10+,29.87,,,TRUE,TRUE,,,,,,,BKN,900,BKN,2500,,,,,IFR,,,,,,,,,,,,METAR,15
KT41 220415Z AUTO 07006KT 10SM OVC014 19/17 A2986 RMK AO2 LTG DSNT NE AND NW T01930174,KT41,2024-03-22T04:15:00Z,29.6709,-95.0644,19.3,17.4,70,6,,10+,29.86,,,TRUE,TRUE,,,,,,,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,METAR,8
KT35 220415Z AUTO 15006KT 10SM VCTS SCT120 14/13 A2987 RMK AO2 LTG DSNT E THRU SW T01350130,KT35,2024-03-22T04:15:00Z,30.8789,-96.9704,13.5,13,150,6,,10+,29.87,,,TRUE,TRUE,,,,,,VCTS,SCT,12000,,,,,,,VFR,,,,,,,,,,,,METAR,122
KT20 220415Z AUTO 00000KT 10SM CLR 16/16 A2984 RMK AO2 LTG DSNT NE AND E T01590157,KT20,2024-03-22T04:15:00Z,29.5301,-97.463,15.9,15.7,0,0,,10+,29.84,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,107
KSZY 220415Z AUTO 09004KT 10SM FEW120 17/05 A3000 RMK A01,KSZY,2024-03-22T04:15:00Z,35.2064,-88.5012,17,5,90,4,,10+,30.00,,,TRUE,TRUE,,,,,,,FEW,12000,,,,,,,VFR,,,,,,,,,,,,METAR,184
KSZT 220415Z AUTO 01003KT 10SM OVC095 06/02 A3002 RMK AO2,KSZT,2024-03-22T04:15:00Z,48.2945,-116.567,6,2,10,3,,10+,30.02,,,TRUE,TRUE,,,,,,,OVC,9500,,,,,,,VFR,,,,,,,,,,,,METAR,649
KSYN 220415Z AUTO 06005KT 1SM SN OVC006 M03/M04 A3020 RMK AO2 T10281040,KSYN,2024-03-22T04:15:00Z,44.474,-93.014,-2.8,-4,60,5,,1,30.20,,,TRUE,TRUE,,,,,,SN,OVC,600,,,,,,,IFR,,,,,,,,,,,,METAR,280
KSYM 220415Z AUTO 08003KT 10SM BKN050 BKN060 OVC120 05/M15 A3020 RMK AO2,KSYM,2024-03-22T04:15:00Z,38.2199,-83.5835,5,-15,80,3,,10+,30.20,,,TRUE,TRUE,,,,,,,BKN,5000,BKN,6000,OVC,12000,,,VFR,,,,,,,,,,,,METAR,307
KSYI 220415Z AUTO 00000KT 10SM CLR 14/00 A3004 RMK A01,KSYI,2024-03-22T04:15:00Z,35.5594,-86.4406,14,0,0,0,,10+,30.04,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,244
KSYF 220415Z AUTO 20013KT 10SM SCT120 10/01 A2983 RMK AO2 T01020005 PWINO,KSYF,2024-03-22T04:15:00Z,39.7583,-101.793,10.2,0.5,200,13,,10+,29.83,,,TRUE,TRUE,,,,,TRUE,,SCT,12000,,,,,,,VFR,,,,,,,,,,,,METAR,1041
KSXU 220415Z AUTO 23006KT 10SM CLR 09/M04 A2994 RMK AO2 T00941045,KSXU,2024-03-22T04:15:00Z,34.9355,-104.637,9.4,-4.5,230,6,,10+,29.94,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1465
KSXK 220415Z AUTO 06016KT 10SM OVC060 00/M07 A2999 RMK AO2,KSXK,2024-03-22T04:15:00Z,42.9895,-96.1645,0,-7,60,16,,10+,29.99,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,430
KSWW 220415Z AUTO 00000KT 10SM 13/08 A2995 RMK AO2 T01290081,KSWW,2024-03-22T04:15:00Z,32.4688,-100.467,12.9,8.1,0,0,,10+,29.95,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,718
KSVE 220415Z AUTO 34003KT 10SM CLR 11/01 A3011 RMK AO2,KSVE,2024-03-22T04:15:00Z,40.376,-120.574,11,1,340,3,,10+,30.11,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1263
KSVC 220415Z AUTO 34006KT 10SM CLR 08/00 A3013 RMK AO2 T00761005,KSVC,2024-03-22T04:15:00Z,32.631,-108.147,7.6,-0.5,340,6,,10+,30.13,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1638
KSUW 220415Z AUTO 00000KT 10SM BKN090 M02/M18 A3022 RMK AO2 T10201184,KSUW,2024-03-22T04:15:00Z,46.6833,-92.0926,-2,-18.4,0,0,,10+,30.22,,,TRUE,TRUE,,,,,,,BKN,9000,,,,,,,VFR,,,,,,,,,,,,METAR,205
KSUA 220415Z AUTO 10SM CLR 22/14 A3009 RMK AO2 T02230141 TSNO,KSUA,2024-03-22T04:15:00Z,27.1815,-80.2252,22.3,14.1,,,,10+,30.09,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4
KSTK 220415Z AUTO 31023G33KT 10SM SCT090 SCT110 08/M03 A2994 RMK AO2,KSTK,2024-03-22T04:15:00Z,40.6133,-103.261,8,-3,310,23,33,10+,29.94,,,TRUE,TRUE,,,,,,,SCT,9000,SCT,11000,,,,,VFR,,,,,,,,,,,,METAR,1228
KSTF 220415Z AUTO 00000KT 10SM OVC085 14/10 A2997 RMK AO2,KSTF,2024-03-22T04:15:00Z,33.4326,-88.8506,14,10,0,0,,10+,29.97,,,TRUE,TRUE,,,,,,,OVC,8500,,,,,,,VFR,,,,,,,,,,,,METAR,99
KSTE 220415Z AUTO 18004KT 3SM UP BKN016 OVC022 M02/M04 A3020 RMK AO2 T10231044,KSTE,2024-03-22T04:15:00Z,44.5437,-89.5347,-2.3,-4.4,180,4,,3,30.20,,,TRUE,TRUE,,,,,,UP,BKN,1600,OVC,2200,,,,,MVFR,,,,,,,,,,,,METAR,335
KSSI 220415Z AUTO 07006KT 10SM FEW055 17/15 A3010 RMK AO2,KSSI,2024-03-22T04:15:00Z,31.1527,-81.3905,17,15,70,6,,10+,30.10,,,TRUE,TRUE,,,,,,,FEW,5500,,,,,,,VFR,,,,,,,,,,,,METAR,6
KSRR 220415Z AUTO 29006KT 10SM FEW075 08/M07 A3010 RMK AO2,KSRR,2024-03-22T04:15:00Z,33.4667,-105.528,8,-7,290,6,,10+,30.10,,,TRUE,TRUE,,,,,,,FEW,7500,,,,,,,VFR,,,,,,,,,,,,METAR,2063
KSRB 220415Z AUTO 00000KT 10SM CLR 07/01 A3008 RMK AO2,KSRB,2024-03-22T04:15:00Z,36.0529,-85.536,7,1,0,0,,10+,30.08,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,303
KSQL 220415Z AUTO 33003KT 10SM CLR 14/11 A3010 RMK AO2,KSQL,2024-03-22T04:15:00Z,37.5119,-122.248,14,11,330,3,,10+,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1
KSPK 220415Z AUTO 21004KT 10SM CLR 06/01 A3008 RMK AO2,KSPK,2024-03-22T04:15:00Z,40.1497,-111.677,6,1,210,4,,10+,30.08,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1381
KSPF 220415Z AUTO 04005KT 1/2SM FZFG OVC002 M04/M04 A3001 RMK AO2,KSPF,2024-03-22T04:15:00Z,44.4811,-103.788,-4,-4,40,5,,0.5,30.01,,,TRUE,TRUE,,,,,,FZFG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,METAR,1191
KSOW 220415Z AUTO 19008KT 10SM CLR 07/01 A3020 RMK AO2,KSOW,2024-03-22T04:15:00Z,34.2686,-110.002,7,1,190,8,,10+,30.20,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1954
KSOA 220415Z AUTO 00000KT 10SM 11/09 A2995 RMK AO2,KSOA,2024-03-22T04:15:00Z,30.5853,-100.651,11,9,0,0,,10+,29.95,,,TRUE,TRUE,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,METAR,654
KSNL 220415Z AUTO 09009KT 10SM -RA OVC090 14/13 A2990 RMK AO2 T01370126,KSNL,2024-03-22T04:15:00Z,35.3611,-96.9445,13.7,12.6,90,9,,10+,29.90,,,TRUE,TRUE,,,,,,-RA,OVC,9000,,,,,,,VFR,,,,,,,,,,,,METAR,327
KSNK 220415Z AUTO 11006KT 10SM CLR 13/09 A2991 RMK AO2 T01270093,KSNK,2024-03-22T04:15:00Z,32.6917,-100.951,12.7,9.3,110,6,,10+,29.91,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,738
KSNC 220415Z AUTO 28009G16KT 260V320 10SM CLR M02/M14 A3025 RMK AO2,KSNC,2024-03-22T04:15:00Z,41.383,-72.506,-2,-14,280,9,16,10+,30.25,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,114
KSMS 220415Z AUTO 00000KT 10SM CLR 12/10 A3018 RMK AO2,KSMS,2024-03-22T04:15:00Z,34.0003,-80.3582,12,10,0,0,,10+,30.18,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,53
KSME 220415Z AUTO 00000KT 10SM FEW003 06/M05 A3012 RMK AO2,KSME,2024-03-22T04:15:00Z,37.0529,-84.6141,6,-5,0,0,,10+,30.12,,,TRUE,TRUE,,,,,,,FEW,300,,,,,,,VFR,,,,,,,,,,,,METAR,279
KSMD 220415Z AUTO 11004KT 10SM SCT110 M00/M11 A3026 RMK A01,KSMD,2024-03-22T04:15:00Z,41.144,-85.1492,0,-11,110,4,,10+,30.26,,,TRUE,TRUE,,,,,,,SCT,11000,,,,,,,VFR,,,,,,,,,,,,METAR,252
KSLR 220415Z AUTO 07006KT 3SM +RA SCT035 BKN044 OVC060 14/14 A2994 RMK AO2 LTG DSNT SW P0009 T01370137,KSLR,2024-03-22T04:15:00Z,33.1615,-95.6189,13.7,13.7,70,6,,3,29.94,,,TRUE,TRUE,,,,,,+RA,SCT,3500,BKN,4400,OVC,6000,,,MVFR,,,,,,0.09,,,,,,METAR,144
KSLO 220415Z AUTO 08005KT 10SM CLR 06/M04 A3010 RMK AO2 T00641045,KSLO,2024-03-22T04:15:00Z,38.6446,-88.9612,6.4,-4.5,80,5,,10+,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,173
KSLH 220415Z AUTO 00000KT 10SM CLR M10/M12 A3030 RMK AO2,KSLH,2024-03-22T04:15:00Z,45.6523,-84.5202,-10,-12,0,0,,10+,30.30,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,193
KSLB 220415Z AUTO 09013KT 10SM OVC050 02/M10 A2998 RMK AO2,KSLB,2024-03-22T04:15:00Z,42.5972,-95.2399,2,-10,90,13,,10+,29.98,,,TRUE,TRUE,,,,,,,OVC,5000,,,,,,,VFR,,,,,,,,,,,,METAR,450
KSJX 220415Z AUTO 00000KT 10SM CLR M08/M11 A3029 RMK AO2 T10761107,KSJX,2024-03-22T04:15:00Z,45.6928,-85.5662,-7.6,-10.7,0,0,,10+,30.29,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,202
